STNAME	CTYNAME	CENSUS2010POP
Alabama	Alabama	4779736
Alabama	Autauga	54571
Alabama	Baldwin	182265
Alabama	Barbour	27457
Alabama	Bibb	22915
Alabama	Blount	57322
Alabama	Bullock	10914
Alabama	Butler	20947
Alabama	Calhoun	118572
Alabama	Chambers	34215
Alabama	Cherokee	25989
Alabama	Chilton	43643
Alabama	Choctaw	13859
Alabama	Clarke	25833
Alabama	Clay	13932
Alabama	Cleburne	14972
Alabama	Coffee	49948
Alabama	Colbert	54428
Alabama	Conecuh	13228
Alabama	Coosa	11539
Alabama	Covington	37765
Alabama	Crenshaw	13906
Alabama	Cullman	80406
Alabama	Dale	50251
Alabama	Dallas	43820
Alabama	DeKalb	71109
Alabama	Elmore	79303
Alabama	Escambia	38319
Alabama	Etowah	104430
Alabama	Fayette	17241
Alabama	Franklin	31704
Alabama	Geneva	26790
Alabama	Greene	9045
Alabama	Hale	15760
Alabama	Henry	17302
Alabama	Houston	101547
Alabama	Jackson	53227
Alabama	Jefferson	658466
Alabama	Lamar	14564
Alabama	Lauderdale	92709
Alabama	Lawrence	34339
Alabama	Lee	140247
Alabama	Limestone	82782
Alabama	Lowndes	11299
Alabama	Macon	21452
Alabama	Madison	334811
Alabama	Marengo	21027
Alabama	Marion	30776
Alabama	Marshall	93019
Alabama	Mobile	412992
Alabama	Monroe	23068
Alabama	Montgomery	229363
Alabama	Morgan	119490
Alabama	Perry	10591
Alabama	Pickens	19746
Alabama	Pike	32899
Alabama	Randolph	22913
Alabama	Russell	52947
Alabama	St. Clair	83593
Alabama	Shelby	195085
Alabama	Sumter	13763
Alabama	Talladega	82291
Alabama	Tallapoosa	41616
Alabama	Tuscaloosa	194656
Alabama	Walker	67023
Alabama	Washington	17581
Alabama	Wilcox	11670
Alabama	Winston	24484
Alaska	Alaska	710231
Alaska	Anchorage	288000
Alaska	Aleutians East Borough	3141
Alaska	Aleutians West Census Area	5561
Alaska	Anchorage Municipality	291826
Alaska	Bethel Census Area	17013
Alaska	Bristol Bay Borough	997
Alaska	Denali Borough	1826
Alaska	Dillingham Census Area	4847
Alaska	Fairbanks North Star Borough	97581
Alaska	Haines Borough	2508
Alaska	Hoonah-Angoon Census Area	2150
Alaska	Juneau City and Borough	31275
Alaska	Kenai Peninsula Borough	55400
Alaska	Ketchikan Gateway Borough	13477
Alaska	Kodiak Island Borough	13592
Alaska	Kusilvak Census Area	7459
Alaska	Lake and Peninsula Borough	1631
Alaska	Matanuska-Susitna Borough	88995
Alaska	Nome Census Area	9492
Alaska	North Slope Borough	9430
Alaska	Northwest Arctic Borough	7523
Alaska	Petersburg Borough	3815
Alaska	Prince of Wales-Hyder Census Area	5559
Alaska	Sitka City and Borough	8881
Alaska	Skagway Municipality	968
Alaska	Southeast Fairbanks Census Area	7029
Alaska	Valdez-Cordova Census Area	9636
Alaska	Wrangell City and Borough	2369
Alaska	Yakutat City and Borough	662
Alaska	Yukon-Koyukuk Census Area	5588
Arizona	Arizona	6392017
